epoch,train_loss,train_acc,val_loss,val_acc,seed,model,experiment
0,0.7000150801125012,0.5022807298335468,0.6951797575950622,0.5106,0,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
1,0.696153779722817,0.500580185659411,0.6980960284233093,0.501,0,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
2,0.6970138301006811,0.5016005121638925,0.6996247882843017,0.5012,0,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
3,0.697147951846544,0.49983994878361077,0.6991408225059509,0.5062,0,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
4,0.6955576337559123,0.5003401088348272,0.6958285273551941,0.4886,0,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
5,0.6942081269778302,0.5011803777208707,0.6937255800247193,0.5008,0,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
6,0.6938781849706066,0.5024207746478874,0.6934131475448608,0.5036,0,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
7,0.693562214872138,0.5050616197183099,0.693690835762024,0.4926,0,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
8,0.6937844310618851,0.5006001920614597,0.693253470993042,0.4982,0,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
9,0.6936577845474516,0.49687900128040974,0.6930357830047608,0.5096,0,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
10,0.6934653543479616,0.49953985275288093,0.692860910987854,0.5102,0,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
11,0.6935263726378526,0.49953985275288093,0.693145818901062,0.507,0,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
12,0.6933171195043645,0.5026408450704225,0.6933155253410339,0.4954,0,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
13,0.6932047713886608,0.5046014724711908,0.6933632966995239,0.4994,0,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
14,0.6932153000416432,0.5039412612035852,0.6926727716445923,0.5172,0,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
15,0.6931994478009574,0.5022207106274008,0.6932282899856568,0.4912,0,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
16,0.6932184454268285,0.498779609475032,0.6931315410614014,0.5028,0,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
17,0.6931569321360082,0.5004801536491678,0.693083021736145,0.502,0,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
18,0.693174508255972,0.4996198783610755,0.6932311445236206,0.4938,0,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
19,0.6931621188848791,0.49723911651728553,0.6930645036697388,0.5102,0,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
0,0.6978788123240697,0.5013804417413572,0.6975634128570557,0.4898,1,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
1,0.6957312833789674,0.5029809539052497,0.6996665259361267,0.492,1,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
2,0.6969289632368637,0.49893966069142126,0.6973094688415528,0.5048,1,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
3,0.6970587488783764,0.4980593790012804,0.696146213054657,0.4988,1,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
4,0.6959065375193744,0.5019806338028169,0.6965228388786316,0.4976,1,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
5,0.6943704473682311,0.5009002880921894,0.6940559427261352,0.501,1,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
6,0.6940025065986204,0.5002000640204866,0.6933986972808838,0.506,1,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
7,0.693702927777465,0.501280409731114,0.6930224744796752,0.5092,1,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
8,0.6936258167677133,0.5015805057618438,0.6942473945617675,0.4978,1,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
9,0.6935495205328498,0.5014204545454546,0.6932570983886719,0.495,1,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
10,0.6932992731410623,0.5041613316261203,0.6931521829605103,0.5072,1,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
11,0.6934159463712715,0.500580185659411,0.6934701210021973,0.497,1,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
12,0.6933189254258872,0.5001800576184379,0.6928011241912841,0.5162,1,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
13,0.6934083003393361,0.4966589308578745,0.6931795490264893,0.489,1,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
14,0.6933290727923072,0.4939180537772087,0.6932722059249878,0.4956,1,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
15,0.6931950202672033,0.49917973751600514,0.6932427787780762,0.4996,1,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
16,0.6932119029584829,0.49767925736235596,0.6932663116455078,0.491,1,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
17,0.6931870190495871,0.5016605313700384,0.6931189645767212,0.5026,1,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
18,0.6931532864839258,0.49967989756722153,0.6931995314598084,0.4966,1,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
19,0.6931698971765448,0.4999599871959027,0.6931725755691528,0.5036,1,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
0,0.6991972688218238,0.49843950064020487,0.6946157695770264,0.5094,2,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
1,0.6954313480747188,0.5045814660691421,0.6958232782363891,0.4978,2,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
2,0.6968685964768736,0.5019206145966709,0.697625345993042,0.4924,2,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
3,0.6967958063841171,0.49965989116517284,0.6972482751846314,0.4868,2,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
4,0.6955645816274245,0.5012003841229193,0.6968675067901612,0.4992,2,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
5,0.6944578588390472,0.49915973111395645,0.6948552835464478,0.4962,2,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
6,0.6940022798567514,0.5007202304737516,0.6936387560844421,0.4856,2,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
7,0.6936943298265357,0.5001000320102432,0.6929238960266113,0.5102,2,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
8,0.6936634391279135,0.5004601472471191,0.6932767994880676,0.507,2,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
9,0.6935757452028204,0.4972191101152369,0.6930772068977356,0.5114,2,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
10,0.6934439736047566,0.49865957106274006,0.6940231774330139,0.4972,2,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
11,0.6933959752283084,0.49915973111395645,0.6932396768569946,0.4932,2,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
12,0.6934029224892737,0.4997399167733675,0.6931127264022827,0.5082,2,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
13,0.6932400835155678,0.5023007362355953,0.6932403738021851,0.4948,2,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
14,0.69330886674141,0.49575864276568504,0.6932444153785705,0.5034,2,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
15,0.6932589082803372,0.49655889884763127,0.6931660563468933,0.4978,2,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
16,0.6932292379124064,0.49627880921895007,0.6930093400955201,0.5154,2,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
17,0.693177177796138,0.500760243277849,0.6930989562034607,0.504,2,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
18,0.6931823846930578,0.4977192701664533,0.6931647044181823,0.494,2,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
19,0.6931622287833279,0.49953985275288093,0.6931548265457154,0.4982,2,ICLTransformerFrozenAttention,task_A_ablation_frozen_attention
