epoch,train_loss,train_acc,val_loss,val_acc,seed,model,experiment
0,0.6985010762678676,0.5073023367477593,0.6892450550079345,0.5308,0,ICLTransformer,task_B_regular
1,0.5929482508636773,0.6349031690140845,0.47945844383239744,0.7168,0,ICLTransformer,task_B_regular
2,0.4349732663048367,0.7550616197183099,0.4101301306247711,0.7754,0,ICLTransformer,task_B_regular
3,0.4006444304113046,0.7812299935979513,0.40138354721069336,0.7814,0,ICLTransformer,task_B_regular
4,0.3894000441484659,0.7873719590268886,0.3675936519622803,0.798,0,ICLTransformer,task_B_regular
5,0.3709758822347077,0.7989156530089628,0.34880682582855227,0.8078,0,ICLTransformer,task_B_regular
6,0.3552880104197125,0.8088588348271447,0.3462441562652588,0.812,0,ICLTransformer,task_B_regular
7,0.3446730439969733,0.8142205505761844,0.3478818819999695,0.8206,0,ICLTransformer,task_B_regular
8,0.3415448910219263,0.8156009923175416,0.33426726422309877,0.8226,0,ICLTransformer,task_B_regular
9,0.3364686017877466,0.817201504481434,0.3289965005874634,0.824,0,ICLTransformer,task_B_regular
10,0.33175343070918556,0.8230833866837388,0.32386806044578553,0.828,0,ICLTransformer,task_B_regular
11,0.3307723755567846,0.8209427016645326,0.3359714799880981,0.8202,0,ICLTransformer,task_B_regular
12,0.32729688769494986,0.8229233354673495,0.33676453371047976,0.8114,0,ICLTransformer,task_B_regular
13,0.3241823601051116,0.8251440460947503,0.3182651223182678,0.824,0,ICLTransformer,task_B_regular
14,0.3169462150403998,0.8316861395646606,0.30562947840690613,0.8354,0,ICLTransformer,task_B_regular
15,0.318521526745889,0.8288052176696543,0.3160743818283081,0.8294,0,ICLTransformer,task_B_regular
16,0.3146217283572186,0.8302256722151088,0.3188987211704254,0.8308,0,ICLTransformer,task_B_regular
17,0.31532224365981076,0.8306658130601793,0.30787281074523926,0.8344,0,ICLTransformer,task_B_regular
18,0.31547948553986493,0.8305857874519846,0.3158091133117676,0.8312,0,ICLTransformer,task_B_regular
19,0.31164629433051266,0.8319062099871959,0.3108831993103027,0.828,0,ICLTransformer,task_B_regular
0,0.6972337283489799,0.5073023367477593,0.692508150100708,0.5248,1,ICLTransformer,task_B_regular
1,0.6120594362138023,0.6194782330345711,0.4791291805267334,0.7254,1,ICLTransformer,task_B_regular
2,0.43569097869222206,0.7598631562099872,0.40525326108932497,0.7758,1,ICLTransformer,task_B_regular
3,0.3999361050876857,0.7818101792573624,0.4093012562274933,0.773,1,ICLTransformer,task_B_regular
4,0.38614557164502966,0.7895126440460948,0.36637698745727537,0.8028,1,ICLTransformer,task_B_regular
5,0.37922823665694605,0.7904729513444302,0.38811000442504884,0.7898,1,ICLTransformer,task_B_regular
6,0.36108444991703986,0.8057378361075545,0.3656632620334625,0.8044,1,ICLTransformer,task_B_regular
7,0.34890976712279376,0.8107794494238156,0.3501627727508545,0.8098,1,ICLTransformer,task_B_regular
8,0.3401668937006314,0.817201504481434,0.3320616695404053,0.8196,1,ICLTransformer,task_B_regular
9,0.3358644711452318,0.8165813060179258,0.338978098154068,0.8116,1,ICLTransformer,task_B_regular
10,0.3352584078927046,0.8189220550576184,0.33129857029914855,0.817,1,ICLTransformer,task_B_regular
11,0.3307829662565996,0.8205025608194623,0.31949944562911986,0.824,1,ICLTransformer,task_B_regular
12,0.3273217187724559,0.822903329065301,0.3226020446777344,0.8256,1,ICLTransformer,task_B_regular
13,0.32389976883667226,0.8255241677336748,0.33098919887542727,0.8198,1,ICLTransformer,task_B_regular
14,0.3205145354956274,0.8271846991037132,0.3200969378948212,0.8286,1,ICLTransformer,task_B_regular
15,0.3150915310988811,0.8289652688860435,0.32596594524383543,0.8236,1,ICLTransformer,task_B_regular
16,0.3177223011145366,0.82574423815621,0.33038987097740175,0.8238,1,ICLTransformer,task_B_regular
17,0.3184573807385148,0.827364756722151,0.3108734477043152,0.8318,1,ICLTransformer,task_B_regular
18,0.31242902962331126,0.8306658130601793,0.31249264068603516,0.8306,1,ICLTransformer,task_B_regular
19,0.31518805286490503,0.8292853713188221,0.3216491038322449,0.826,1,ICLTransformer,task_B_regular
0,0.6970833562858278,0.5129241357234315,0.690437707233429,0.5342,2,ICLTransformer,task_B_regular
1,0.6113068619397172,0.6139964788732394,0.4665951151371002,0.7382,2,ICLTransformer,task_B_regular
2,0.4237236995703127,0.7660851472471191,0.4090803635597229,0.776,2,ICLTransformer,task_B_regular
3,0.3991172972699286,0.7820302496798975,0.38269793028831484,0.791,2,ICLTransformer,task_B_regular
4,0.38619684760915485,0.7894126120358514,0.4088082230567932,0.7908,2,ICLTransformer,task_B_regular
5,0.3704643856815126,0.7982754481434059,0.37429561653137206,0.795,2,ICLTransformer,task_B_regular
6,0.35228574188204337,0.809539052496799,0.3551843451976776,0.81,2,ICLTransformer,task_B_regular
7,0.34642228587183543,0.8111795774647887,0.36870255913734434,0.8074,2,ICLTransformer,task_B_regular
8,0.3434525421425872,0.8154409411011524,0.3312008714675903,0.823,2,ICLTransformer,task_B_regular
9,0.339209914417334,0.8159010883482715,0.3326994812965393,0.8278,2,ICLTransformer,task_B_regular
10,0.33197441420466584,0.822903329065301,0.3309738275527954,0.8288,2,ICLTransformer,task_B_regular
11,0.33018778140505206,0.8217429577464789,0.32774671211242673,0.8276,2,ICLTransformer,task_B_regular
12,0.3255222142696686,0.8236235595390525,0.319702942943573,0.8264,2,ICLTransformer,task_B_regular
13,0.3281183314727913,0.8232034250960307,0.3236900495052338,0.8268,2,ICLTransformer,task_B_regular
