epoch,train_loss,train_acc,val_loss,val_acc,seed,model,experiment
0,0.6988154130006416,0.5035211267605634,0.6956092192649841,0.5096,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
1,0.696791025725278,0.49983994878361077,0.6985800592422485,0.496,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
2,0.6976306039300985,0.5009803137003841,0.6999504415512084,0.5006,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
3,0.6964330840354997,0.4991397247119078,0.6958196231842041,0.5006,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
4,0.6943437653986043,0.4985995518565941,0.6938655494689941,0.494,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
5,0.6939263358311525,0.5013404289372599,0.6934030908584595,0.504,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
6,0.6937410046898601,0.5020206466069143,0.693242019367218,0.5046,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
7,0.6932460980897677,0.5100832266325224,0.6923951398849487,0.5224,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
8,0.690543682871341,0.5309499039692702,0.6866769247055053,0.547,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
9,0.6877313730963976,0.5453345070422535,0.6813038877487183,0.565,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
10,0.6760312182955186,0.5740236875800256,0.6526121158599854,0.6166,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
11,0.6409119676688875,0.6312620038412292,0.5881515069007873,0.694,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
12,0.5871623764422731,0.686919814340589,0.5412045864105225,0.7308,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
13,0.5631280328491739,0.7084867157490397,0.5254925090312957,0.7306,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
14,0.5490244322488617,0.7208906850192062,0.5064787269592285,0.7472,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
15,0.5334911481900648,0.7318341869398207,0.5070695259094238,0.7512,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
16,0.5249888856874996,0.7378961267605634,0.4849706057548523,0.7664,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
17,0.5200466244993075,0.7416173175416133,0.47931483640670774,0.7736,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
18,0.5160661137516154,0.7446782970550576,0.48525808820724486,0.7664,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
19,0.5146230838897133,0.7445582586427657,0.4746598424911499,0.7706,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
0,0.6974737447294169,0.5044014084507042,0.6982435067176819,0.4864,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
1,0.6963742334925106,0.5035011203585147,0.7013546245574951,0.489,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
2,0.6973485248342214,0.49953985275288093,0.6979225906372071,0.5104,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
3,0.696431094186712,0.49903969270166454,0.6946851619720459,0.5052,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
4,0.6943963258580881,0.500580185659411,0.6941990631103515,0.4954,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
5,0.6938880581251332,0.5018205825864277,0.6942035742759705,0.4994,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
6,0.693882839933095,0.4989596670934699,0.6932652012825012,0.5056,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
7,0.69368069448178,0.5013204225352113,0.6929639838218689,0.5138,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
8,0.6935687803123123,0.5015404929577465,0.6943492765426635,0.4978,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
9,0.6928422277776594,0.5127440781049936,0.6901457528114319,0.5422,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
10,0.6893097954431355,0.5375120038412292,0.684855087184906,0.5612,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
11,0.6857726232037806,0.5525568181818182,0.6776847736358642,0.5758,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
12,0.6765216965986733,0.5741237195902689,0.6596978427886963,0.6142,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
13,0.6508534570509584,0.6163772407170295,0.6004239307403565,0.6706,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
14,0.6097880977369301,0.6652328745198464,0.5822658769607544,0.6926,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
15,0.5831364602728171,0.6881802176696543,0.5360974880218505,0.7284,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
16,0.5629063601225195,0.708066581306018,0.5387931413650513,0.73,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
17,0.5534943001447353,0.7154889564660691,0.5172533744812011,0.7458,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
18,0.5539415671028645,0.7142485595390525,0.507680553150177,0.7514,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
19,0.5461670812815619,0.7225112035851472,0.5094532526969909,0.7518,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
0,0.6984982034155715,0.49817941741357236,0.6948041474342346,0.5072,2,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
1,0.6960038754149375,0.5039812740076824,0.6957360381126404,0.4972,2,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
2,0.6972409003675366,0.4995998719590269,0.6974139780044556,0.4988,2,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
3,0.6957652480287833,0.5018405889884763,0.6952983764648437,0.4954,2,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
4,0.6941546914519482,0.5027208706786171,0.6973802484512329,0.4992,2,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
5,0.6941400768662231,0.4985595390524968,0.695502059173584,0.4964,2,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
6,0.6939529536933509,0.49969990396927016,0.6932930414199829,0.4908,2,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
7,0.693726858775228,0.4987395966709347,0.6929939012527466,0.5102,2,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
8,0.693644119896443,0.5015204865556978,0.6932333069801331,0.497,2,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.1
