epoch,train_loss,train_acc,val_loss,val_acc,seed,model,experiment
0,0.6988151751926095,0.5037812099871959,0.6956288550376892,0.509,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
1,0.6968111110405183,0.5000400128040973,0.6985958171844482,0.4954,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
2,0.6976624786014288,0.5006201984635084,0.6999525283813477,0.501,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
3,0.6964719288633056,0.49871959026888607,0.6957669082641602,0.499,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
4,0.6943738984084771,0.4981193982074264,0.6938448740005493,0.492,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
5,0.6939539681934058,0.4998999679897567,0.693464794921875,0.5046,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
6,0.6937952604092342,0.5006602112676056,0.6933190514564515,0.5052,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
7,0.693571429017564,0.5026408450704225,0.6934736294746399,0.4968,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
8,0.6937601988355268,0.49955985915492956,0.6930785570144653,0.5054,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
9,0.6936208325677888,0.4970590588988476,0.6930507095336914,0.5116,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
10,0.6934335934673168,0.49991997439180536,0.6927753432273864,0.5144,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
11,0.6935459876793142,0.49843950064020487,0.6931939781188965,0.5012,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
12,0.6932282234886697,0.5039212548015365,0.6931389717102051,0.4962,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
13,0.693130292065165,0.5053617157490397,0.6932561413764954,0.499,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
14,0.6931907100347795,0.5043213828425096,0.6924789496421814,0.5174,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
15,0.6931204337164015,0.5023007362355953,0.6929973108291626,0.5124,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
16,0.693069721229861,0.5069822343149808,0.6926892234802247,0.5306,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
17,0.6928335596138323,0.5139844750320103,0.6920425298690795,0.5372,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
18,0.6927439845936246,0.5154849551856594,0.692705739402771,0.5184,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
19,0.6926065328484461,0.5146246798975672,0.692385142326355,0.5258,0,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
0,0.6974601196876409,0.5034411011523687,0.6982564652442932,0.486,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
1,0.6963912555411287,0.5036811779769527,0.7013288698196412,0.489,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
2,0.6973726632653064,0.4997199103713188,0.6978946771621705,0.5102,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
3,0.6964426896941494,0.4985595390524968,0.6946773706436157,0.5052,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
4,0.6944069983711927,0.5008402688860435,0.6941664402008056,0.4952,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
5,0.6938979365456273,0.5011803777208707,0.6942142715454102,0.4994,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
6,0.6938991434442859,0.498779609475032,0.6932837777137756,0.5054,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
7,0.6937060794207565,0.5004801536491678,0.6930308990478515,0.507,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
8,0.6936455165225626,0.500520166453265,0.6945026001930237,0.4978,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
9,0.6935426448585129,0.5016805377720871,0.6932435471534729,0.4936,1,ICLTransformerNoisyLabels,task_A_ablation_noisy_labels_p0.2
